store_id,clinic_name,store_name,Zipcode,adress,access
tcb_001,TCB,新宿三丁目院,〒160-0022,東京都新宿区新宿3-1-20 メットライフ新宿スクエア 7F,"新宿三丁目駅から徒歩1分以内, JR 新宿駅から徒歩3分"
tcb_002,TCB,新宿東口院,〒160-0021,東京都新宿区歌舞伎町1-27-5 歌舞伎町APMビル 7F,"西武新宿線 西武新宿駅正面口から徒歩2分, JR 新宿駅東口から徒歩3分"
tcb_003,TCB,新宿西口院,〒160-0023,東京都新宿区西新宿1-17-1 日本生命新宿西口ビル 2F,新宿駅から徒歩1分
tcb_004,TCB,高田馬場院,〒169-0075,東京都新宿区高田馬場2-17-15 唐橋ビル 7F,"JR高田馬場駅から徒歩2分, 東京メトロ東西線A4・A5出口から徒歩数十秒"
tcb_005,TCB,池袋駅前院,〒170-0013,東京都豊島区東池袋1-8-1 WACCA IKEBUKURO 6F,JR 池袋駅東口から徒歩3分
tcb_006,TCB,銀座有楽町院,〒100-0006,東京都千代田区有楽町2-3-5 aune有楽町 5F,"地下鉄日比谷線日比谷駅から徒歩1分, JR有楽町駅銀座口から徒歩2分"
tcb_007,TCB,銀座二丁目院,〒104-0061,東京都中央区銀座2-6-9 Ginza269ビル 9F,"JR有楽町駅から徒歩3分, 地下鉄有楽町線銀座一丁目駅から徒歩2分"
tcb_008,TCB,秋葉原院,〒101-0025,東京都千代田区神田佐久間町1-13 チョムチョム秋葉原 8F,"JR秋葉原駅中央改札口から徒歩1分, つくばエクスプレス秋葉原駅 A1出口から徒歩1分"
tcb_009,TCB,渋谷東口院,〒150-0002,東京都渋谷区渋谷2-19-15 宮益坂ビルディング 3F,"JR山手線 渋谷駅から徒歩2分, 東京メトロ銀座線 渋谷駅から徒歩2分"
tcb_010,TCB,渋谷西口院,〒150-0043,東京都渋谷区道玄坂2-23-12 フォンティスビル 3F,"京王井の頭線/東京メトロ副都心線・半蔵門線/東急東横線・田園都市線 渋谷駅から徒歩5分, JR渋谷駅から徒歩7分"
tcb_011,TCB,中野院,〒164-0001,東京都中野区中野3-34-32 凱旋ビル 3F,JR 中野駅南口から徒歩2分
tcb_012,TCB,町田院,〒194-0013,東京都町田市原町田6-3-3 町映ビル 5F,"小田急小田原線 町田駅から徒歩1分, JR横浜線 町田駅から徒歩2分"
tcb_013,TCB,上野院,〒110-0005,東京都台東区上野4-10-5 ヒューリック上野公園前ビル 7F・8F,"JR上野駅から徒歩2分, 京成上野駅から徒歩1分"
tcb_014,TCB,立川院,〒190-0012,東京都立川市曙町2-11-2 フロム中武 6F,JR立川駅北口から徒歩2分
tcb_015,TCB,八王子院,〒192-0083,東京都八王子市旭町2-5 八王子ツインタワーA館 4F,"JR八王子駅から徒歩1分, 京王線京王八王子駅から徒歩5分"
tcb_016,TCB,品川院,〒108-0074,東京都港区高輪3-23-17 品川センタービルディング 2F 201,"JR品川駅から徒歩3分, 京浜急行線品川駅から徒歩3分"
tcb_017,TCB,北千住院,〒120-0034,東京都足立区千住2-26-2 エクセル33 3F,北千住駅から徒歩4分
tcb_018,TCB,自由が丘院,〒152-0035,東京都目黒区自由が丘2-11-23 自由が丘南風ビル 5F,自由が丘駅から徒歩2分
tcb_019,TCB,横浜駅前院,〒220-0004,神奈川県横浜市西区北幸1-1-8 エキニア横浜（相鉄北幸第一ビル） 7F,横浜駅西口から徒歩1分
tcb_020,TCB,横浜院,〒220-0004,神奈川県横浜市西区北幸1-8-2 犬山西口ビルヂング 3F,"JR東海道本線/東横線/みなとみらい線 横浜駅から徒歩3分, 横浜市営地下鉄ブルーライン 出口9から徒歩1分"
tcb_021,TCB,新横浜院,〒222-0033,神奈川県横浜市港北区新横浜2-5-14 WISE NEXT新横浜 7F,"ブルーライン 新横浜駅9番出口から徒歩1分, JR横浜線 新横浜駅北口から徒歩5分"
tcb_022,TCB,川崎院,〒210-0007,神奈川県川崎市川崎区駅前本町12-1 川崎駅前タワー・リバーク B2F,"JR川崎駅から徒歩2分, 京急川崎駅から徒歩2分"
tcb_023,TCB,藤沢院,〒251-0055,神奈川県藤沢市南藤沢22-1 神中第二ビル 3F,"JR藤沢駅から徒歩1分, 小田急電鉄 藤沢駅から徒歩1分"
tcb_024,TCB,本厚木院,〒243-0018,神奈川県厚木市中町3-6-17 オーイズミホールディングス厚木ビル 5F,小田急電鉄 本厚木駅から徒歩3分
tcb_025,TCB,大宮西口院,〒330-0854,埼玉県さいたま市大宮区桜木町2-3 イオンスタイル大宮西口駅前 3F,JR大宮駅から徒歩1分
tcb_026,TCB,大宮東口院,〒330-0845,埼玉県さいたま市大宮区仲町1-15 VORT大宮 7F,JR 大宮駅東口から徒歩2分
tcb_027,TCB,川口院,〒332-0017,埼玉県川口市栄町3-8-15 近代グループBLD.23号館 8F,川口駅東口から徒歩2分
tcb_028,TCB,川越院,〒350-1123,埼玉県川越市脇田本町1-2 山崎ビル 4F,"JR川越駅から徒歩2分, 東武東上線 川越駅から徒歩2分"
tcb_029,TCB,越谷院,〒343-0845,埼玉県越谷市南越谷1-15-1 南越谷ラクーン 4F,"JR南越谷駅から徒歩3分, 東武スカイツリーライン 新越谷駅から徒歩3分"
tcb_030,TCB,宇都宮院,〒321-0964,栃木県宇都宮市駅前通り1-4-6 トナリエ宇都宮 5F,JR宇都宮駅から徒歩1分
tcb_031,TCB,水戸院,〒310-0015,茨城県水戸市宮町1-7-33 水戸サウスタワー 6F,JR 水戸駅南口から徒歩2分
tcb_032,TCB,つくば院,〒305-0031,茨城県つくば市吾妻1-7-1 トナリエつくばスクエア トナリエクレオ 3F,つくばエクスプレス つくば駅から徒歩1分
tcb_033,TCB,千葉駅前院,〒260-0031,千葉県千葉市中央区新千葉2-2-1 新日本EXビル 3F,"JR総武線 千葉駅から徒歩2分, 京成千葉線 京成千葉駅から徒歩4分"
tcb_034,TCB,千葉東口院,〒260-0015,千葉県千葉市中央区富士見2-5-15 塚本千葉第三ビルディング 5F,"JR千葉駅から徒歩5分, 京成電鉄 京成千葉駅、千葉中央駅から徒歩5分"
tcb_035,TCB,柏院,〒277-0005,千葉県柏市柏1-2-37 柏ちば興銀ビル 6F,JR柏駅から徒歩2分
tcb_036,TCB,船橋院,〒273-0005,千葉県船橋市本町1-7-6 ドリーム船橋ビル 5F,"JR船橋駅から徒歩5分, 京成電鉄京成本線 京成船橋駅から徒歩3分"
tcb_037,TCB,松戸院,〒271-0092,千葉県松戸市松戸1307-1 キテミテマツド 8F,JR松戸駅から徒歩3分
tcb_038,TCB,高崎院,〒370-0849,群馬県高崎市八島町46-1 高崎オーパ 8F,JR高崎駅から徒歩2分
tcb_039,TCB,前橋院,〒371-0024,群馬県前橋市表町2-30-8 アクエル前橋 B1F,JR前橋駅から徒歩1分
tcb_040,TCB,札幌駅前院,〒060-0004,北海道札幌市中央区北4条西2-1-2 キタコートレードビル 6F,"東豊線さっぽろ駅から 徒歩1分, JR札幌駅から徒歩5分"
