parameter_no,tcb_stores,luna_stores,rize_stores,shinagawa_stores,seishin_stores,#VALUE!
0,tcb_001/tcb_002/tcb_003/tcb_004/tcb_005/tcb_006/tcb_007/tcb_008/tcb_009/tcb_010/tcb_011/tcb_012/tcb_013/tcb_014/tcb_015/tcb_016/tcb_017/tcb_018/tcb_019/tcb_020/tcb_021/tcb_022/tcb_023/tcb_024/tcb_025/tcb_026/tcb_027/tcb_028/tcb_029/tcb_030/tcb_031/tcb_032/tcb_033/tcb_034/tcb_035/tcb_036/tcb_037/tcb_038/tcb_039/tcb_040/tcb_041/tcb_042/tcb_043/tcb_044/tcb_045/tcb_046/tcb_047/tcb_048/tcb_049/tcb_050/tcb_051/tcb_052/tcb_053/tcb_054/tcb_055/tcb_056/tcb_057/tcb_058/tcb_059/tcb_060/tcb_061/tcb_062/tcb_063/tcb_064/tcb_065/tcb_066/tcb_067/tcb_068/tcb_069/tcb_070/tcb_071/tcb_072/tcb_073/tcb_074/tcb_075/tcb_076/tcb_077/tcb_078/tcb_079/tcb_080/tcb_081/tcb_082/tcb_083/tcb_084/tcb_085/tcb_086/tcb_087/tcb_088/tcb_089/tcb_090/tcb_091/tcb_092/tcb_093/tcb_094/tcb_095/tcb_096/tcb_097/tcb_098/tcb_099/tcb_100/tcb_101/tcb_102/tcb_103/tcb_104/tcb_105,luna_001/luna_002,rize_001/rize_002/rize_003/rize_004/rize_005/rize_006/rize_007/rize_008/rize_009/rize_010/rize_011/rize_012/rize_013/rize_014/rize_015/rize_016/rize_017/rize_018/rize_019,shinagawa_001/shinagawa_002/shinagawa_003/shinagawa_004/shinagawa_005/shinagawa_006/shinagawa_007/shinagawa_008/shinagawa_009/shinagawa_010/shinagawa_011/shinagawa_012/shinagawa_013/shinagawa_014/shinagawa_015/shinagawa_016/shinagawa_017/shinagawa_018/shinagawa_019/shinagawa_020/shinagawa_021/shinagawa_022/shinagawa_023/shinagawa_024/shinagawa_025/shinagawa_026/shinagawa_027/shinagawa_028/shinagawa_029/shinagawa_030/shinagawa_031/shinagawa_032/shinagawa_033/shinagawa_034/shinagawa_035/shinagawa_036/shinagawa_037/shinagawa_038/shinagawa_039,seishin_001/seishin_002/seishin_003/seishin_004/seishin_005/seishin_006/seishin_007/seishin_008/seishin_009/seishin_010,-
1,tcb_040/tcb_041/tcb_042,-,rize_001,shinagawa_022,seishin_001,-
2,tcb_046,-,-,-,-,-
3,tcb_047,-,-,-,-,-
4,tcb_043,-,rize_002,shinagawa_023,-,-
5,tcb_049,-,-,-,-,-
6,tcb_048,-,-,-,-,-
7,tcb_044/tcb_045,-,-,-,-,-
8,tcb_031/tcb_032,-,-,-,-,-
9,tcb_030,-,-,shinagawa_020,-,-
